domain,label
smiqjycrl.sysu.edu.cn,0.0
www.patrickforeilly.com,1.0
vsjinfotech.com,1.0
pocketworld.onelink.me,0.0
washingtonscolympia.letch.online,1.0
srcdevelop.com,1.0
zn25inj3kdru9g2u9-proquest.siteintercept.qualtrics.com,0.0
a9e5n.tdum.alibaba.com,0.0
member.zlongame.com,0.0
zj2fdlixfqz3eyu6ladq-f-73d0f8607-clientnsv4-s.akamaihd.net,0.0
tw.mail.yahoo.com,0.0
wbyvfnub.page.link,1.0
cohenlegalteam.com,1.0
files.catbox.moe,1.0
iral-as.mrface.com,1.0
88t7l4.tdum.alibaba.com,0.0
prod-illustrations.s3.amazonaws.com,0.0
chatnoir.life,1.0
1030073339.docs.qq.com,0.0
f8edbe1240d949b5801c4f0386168638.fp.measure.office.com,0.0
mediatrans9.com,1.0
pull-flv-l6-spe.ixigua.com,0.0
www.myip.com,0.0
trouter2-azsc-jpea-0-a.trouter.teams.microsoft.com,0.0
amec.com.pk,1.0
clickme.net,0.0
w4dasvaxfdy2syu6ts2q-f-a3119a836-clientnsv4-s.akamaihd.net,0.0
img.jianzhimao.com,0.0
cdn3.dan.com,0.0
fanyi.bailepin.com,0.0
only-165185-112-96-65-232.nstool.netease.com,0.0
sports-windows.com,1.0
zditthqx.page.link,1.0
fgb.swu.edu.cn,0.0
b5849f2e8d545dad0ff8c567c0351610.safeframe.googlesyndication.com,0.0
zarbafeh.shop,1.0
shariiph.com,1.0
iwes.whu.edu.cn,0.0
crcu.jlu.edu.cn,0.0
c-csigns.com,1.0
appstore.picovr.com,0.0
thessclothing.com,1.0
libbobur.uz,1.0
krippenfreunde-schnaittenbach.de,1.0
legopreview2-10023938.file.myqcloud.com,0.0
eaaqeubqakbeajqacqlxqaaaabrj5r4k-f-2e7b84714-clienttons-s.akamaihd.net,0.0
vtkyvnby.page.link,1.0
app.eeo.com.cn,0.0
esellbazar.com,1.0
106.94.238.13.sbl.spamhaus.org,0.0
1cdcbd7113cfde847cbf60fa26f61d1b.safeframe.googlesyndication.com,0.0
newireluck2.com,1.0
a-0.19-a3000001.c080081.16a8.c13.3ea5.210.0.wmankg6pparfcsjpssscwa63wb.avts.mcafee.com,0.0
hznmtmeg.page.link,1.0
colombiacomputersupport.com,1.0
mishop.pandora.xiaomi.com,0.0
centurygames.helpshift.com,0.0
html.gxjy.sdei.edu.cn,0.0
cc-hn14.lol.qq.com,0.0
image38.360doc.com,0.0
alawnevavqnl.sysu.edu.cn,0.0
klvrtull.page.link,1.0
pasteio.com,1.0
79f31a14c8664a8ea6cfea20876dee47.fp.measure.office.com,0.0
gas.modernconflict2.gaijin.net,0.0
ec-habilitar.com,1.0
www91.intel.cn,0.0
5f1ce1330be64e9fb73f67e8d5a51e67.fp.measure.office.com,0.0
ccleanercloud.zendesk.com,0.0
fotilflijnmt.sysu.edu.cn,0.0
hiylngmn.page.link,1.0
cfff0ea0be3008ad1ffd997c26506358.safeframe.googlesyndication.com,0.0
72k6ns9a75iecsooliu5opg3c4y2ldsmod6732qk04c36697ce0c4799sac.d.aa.online-metrix.net,0.0
hdbemmfr.page.link,1.0
dealsfordell.com,1.0
okakafc.com,1.0
cd.textfiles.com,1.0
mangguoqian.lofter.com,0.0
us01xmppapi-ngxsvr2.zoom.us,0.0
originrmb.oss-cn-shanghai.aliyuncs.com,0.0
modant-seabulk.com,1.0
khabarbhandar.com,1.0
bnz05pap001.storage.live.com,0.0
cdn.us.oss.api.autodesk.com,1.0
183-6-9-77_s-23-48-214-105_ts-1654583442-clienttons-s.akamaihd.net,0.0
iwbaayn.sysu.edu.cn,0.0
usinadevendas.com.br,1.0
kms001.workspace.rug.nl,0.0
buralffh.page.link,1.0
api35o.ilovepdf.com,0.0
72.zssom.sysu.edu.cn,0.0
cip.autodesk.com,0.0
karateacademy.gr,1.0
www.adme.ru,0.0
shss.nuc.edu.cn,0.0
xaxdttkz.page.link,1.0
i4ea1y.philipstelevisao.sa.com,1.0
btf13y.tdum.alibaba.com,0.0
oiavbcpu.page.link,1.0
hlwyy-1251304050.cossh.myqcloud.com,0.0
pcmgkb.my.id,1.0
eaaqeubqaijeajqacqlxqaaaabrj6uqi-pmkqid-2948c4041-clienttons-s.akamaihd.net,0.0
gxsearch.online,1.0
udaunvfd.page.link,1.0
ladimedical.com,1.0
u7061146.ct.sendgrid.net,0.0
65e8c357e5d19a1f20a49f9f9c2a8487.safeframe.googlesyndication.com,0.0
mirror.yandex.ru,0.0
issuecdn.baidupcs.com,0.0
learsxcb.page.link,1.0
a-dld.vizvaz.com,1.0
maxman.shop,1.0
1398235-35.chat.api.drift.com,0.0
8888news.in,1.0
w4dasvaxeqbfcyu6xuvq-f-cea325913-clientnsv4-s.akamaihd.net,0.0
buildco.com.pk,1.0
dousen.co,1.0
codexz.lol,1.0
connpm.gj.qq.com,0.0
h171326.srv22.test-hf.su,1.0
d4ykqdf81nuuy.cloudfront.net,0.0
moba.uuu9.com,0.0
cpegjbti.page.link,1.0
srhptvxub.sysu.edu.cn,0.0
0d28fa1c61284b49ad60c2012dfb7729.fp.measure.office.com,0.0
fnimbprh.page.link,1.0
desentupidoradepalmas.com.br,1.0
d18706909826d1611a7b3c25dcb31763.safeframe.googlesyndication.com,0.0
d4298fa707a2d52f20ec50cafb327767.safeframe.googlesyndication.com,0.0
ea0cd5f34a3052bcc603cd857f5ff77a.safeframe.googlesyndication.com,0.0
weather.china.com.cn,0.0
live.xhscdn.com.livecdn.liveplay.myqcloud.com,0.0
120-236-174-238_s-23-32-236-105_ts-1654570724-clienttons-s.akamaihd.net,0.0
53.119.255.162.sbl.spamhaus.org,0.0
8d130240dcab421d88b79815fd49bdb5.fp.measure.office.com,0.0
7yaa6k.pereirare.sa.com,1.0
7zgdvq.tdum.alibaba.com,0.0
proxy-eu.hosted.exlibrisgroup.com,0.0
ikktkxjs.page.link,1.0
ucqeioqj.page.link,1.0
brij.world,1.0
zengyixmail.sysu.edu.cn,0.0
48ff903d13a042dfb56b160edcce672d.fp.measure.office.com,0.0
w4dasvaxfdy4syu7bxkq-f-1a6691432-clientnsv4-s.akamaihd.net,0.0
c04958e57ce54aeaa266d2df1583b9e1.fp.measure.office.com,0.0
jaacc.ca,1.0
tfvzslon.page.link,1.0
onedriveclucproddm20036.blob.core.windows.net,0.0
fxryycsf.sysu.edu.cn,0.0
5030849-49.chat.api.drift.com,0.0
hgdled1.51sole.com,0.0
t2534340665286752077.id.amgdgt.com,0.0
w4dasunyde4guyu6ttjq-p4hiql-fc32f3bb9-clientnsv4-s.akamaihd.net,0.0
zp.szu.edu.cn,0.0
pcfa.org.my,1.0
appquery.neea.edu.cn,0.0
conf-drcn.cloud.hicloud.com,0.0
funsaef.org,1.0
t1214.wonderfulday27.live,0.0
daohang.qq.com,0.0
y6jn8c31esfr3znvs74zwsskbf7horicrrlctk2idf3cdb44e3c30d2fsac.d.aa.online-metrix.net,0.0
rl.mail.qq.com,0.0
y6jn8c31m5p3h7sd35kdbxrameviuz7o4pmobivnbff74a3fd9c6d269sac.d.aa.online-metrix.net,0.0
transtri.files.wordpress.com,0.0
knowledgehub.transparency.org,0.0
data12.kemono.party,0.0
alb-8tl6oxxsas782owtmr.cn-hangzhou.alb.aliyuncs.com,0.0
district.ce.cn,0.0
vjaltsuaxqmiad.sysu.edu.cn,0.0
image1-cdn.compass.cn,0.0
dece.sync.oystergardens.club,1.0
bqvyhnc.hikvision.com,0.0
mdtsttytqvz.sysu.edu.cn,0.0
tzgfztxp.page.link,1.0
cuboplace.com.br,1.0
rodney.ns.cloudflare.com,0.0
beachamptonmotors.co.uk,1.0
kns-cnki-net.443.webvpn.sysu.edu.cn,0.0
xmpp009.zoom.us,0.0
w4dasvaxeqh5qyu7lx7q-f-a52059266-clientnsv4-s.akamaihd.net,0.0
scboy.cc,0.0
overdue.aliyun.com,0.0
pdlxf_doctor.qq.com,0.0
msbbrxao.sysu.edu.cn,0.0
tsxgqqbi.page.link,1.0
18f57c94fb4f4840b14a276285dfbdde.fp.measure.office.com,0.0
yjsnpi.nu,0.0
cid-8efa05122e7f2b33.users.storage.live.com,0.0
4f2a9dacd424462cbca4390ee521e42d.fp.measure.office.com,0.0
c-0.19-a3000011.8080081.170c.cf6.3ea5.210.0.wccusi92w7pujtswhs788u4zjj.avts.mcafee.com,0.0
gtaylton.polyu.edu.hk,0.0
beginner-blogger-basics.sysu.edu.cn,0.0
1919875cf69b4fbe81e8ab51ee6d0fbe.fp.measure.office.com,0.0
pyxudkmi.page.link,1.0
pdoraqaam.sysu.edu.cn,0.0
4fff75e54bc6fd0336d44f332ff7634c.safeframe.googlesyndication.com,0.0
qwientny.page.link,1.0
zhtolvrx.page.link,1.0
kwiatkifranciszka.edu.pl,1.0
negmtalkhalhg.com,1.0
vmonitor.ws.netease.com,0.0
s342.photo.store.qq.com,0.0
75d915b5e9fb4586a19ec4c4a1a07c13.fp.measure.office.com,0.0
only-627272-112-96-54-176.nstool.netease.com,0.0
www.graduate.scnu.edu.cn,0.0
c-0.19-a7000011.8010081.16a8.b69.3ea5.210.0.flh7sdgzuj4s37jcb6dfabmhhi.avts.mcafee.com,0.0
3rt.site,1.0
183-6-9-104_s-23-48-214-105_ts-1654569403-clienttons-s.akamaihd.net,0.0
nac-ecs.co.mz,1.0
scripts.asi.services,1.0
www.gpa.cuhk.edu.hk,0.0
hzlhsw.foodmate.net,0.0
qcc-static.qcc.com,0.0
test-stanchart-hk.onelink.me,0.0
xlhy-houtai.oss-cn-hangzhou.aliyuncs.com,0.0
susapi.lenovomm.com,0.0
file140.gofile.io,1.0
bestproductsfor.online,1.0
stzb.res.netease.com,0.0
52b97c4a02cc8ca7377a40c22e1a8ab0.safeframe.googlesyndication.com,0.0
zj2fdlixfqz3eyu6mkua-f-04ad03757-clientnsv4-s.akamaihd.net,0.0
sha7u.paudearcozu.za.com,1.0
cdn2-static-cf.gotporn.com,0.0
wsjgmdh.sysu.edu.cn,0.0
cma-zheb.mob.cnki.net,0.0
bmkrmrhw.page.link,1.0
www.biz-con.co.kr,0.0
109.31.243.54.sbl.spamhaus.org,0.0
rtb.va.us.criteo.com,0.0
lfbmjjcanenfllj.top,1.0
kuii3h.ameixeirare.sa.com,1.0
aonefeeds.com.pk,1.0
exrklk.tdum.alibaba.com,0.0
adl-sam.mrbasic.com,1.0
itsolutionss.com.ar,1.0
422f128f283486f2d66deed49cf60757040199cce97f5fc6.dlied1.cdntips.net,0.0
233.128.164.129.sbl.spamhaus.org,0.0
82982b8511594c088efe1a36d1e1011b.fp.measure.office.com,0.0
mooya.co.za,1.0
emarketing.sina.com.cn,0.0
e1eb9a3fdba14b49aab0ced506e824bf.fp.measure.office.com,0.0
a.14-0.19-a7000801.8050091.170c.c6b.3ea5.210.0.m79rr2scdqk6lu5tl45rl58n2i.avts.mcafee.com,0.0
kvlyfaal.page.link,1.0
hrmh-staff-mobile.paas.cmbchina.com,0.0
cht.layout.oystergardens.us,1.0
adl-gqs.vizvaz.com,1.0
turftextile.com,1.0
ir-irn.vizvaz.com,1.0
adf8a172da534748a20c1e1d01efd418.fp.measure.office.com,0.0
w4dasvax2cgcgyu67a4a-f-dcb7ceb73-clientnsv4-s.akamaihd.net,0.0
lwaipx.pioneertelevisao.sa.com,1.0
gogo625-1321530550.cos.ap-hongkong.myqcloud.com,1.0
stateoftheart-2021.allergycongress.gr,1.0
qa.ncompassmkt.com,1.0
m.paperfree.cn,0.0
qnawcerz.page.link,1.0
trouter2-azsc-krce-2-b.trouter.teams.microsoft.com,0.0
jaweeds.com,1.0
innovatorsprofit.online,1.0
dpajjyzs.page.link,1.0
theovencleaningcompanyleicester.com,1.0
madekingrealties.com,1.0
pasta-mania.it,1.0
livescorekapuas88.com,1.0
tennislifemag.com,1.0
ugsnetwork.com.my,1.0
smc.dns05.com,1.0
azaniasecondary.sc.tz,1.0
sruphaazxumra.sysu.edu.cn,0.0
qirjlqeh.page.link,1.0
w4dasvfygoo5syu6haaa-f-643851c5b-clientnsv4-s.akamaihd.net,0.0
dntj.mail.sysu.edu.cn,0.0
antibodies.cancer.gov,0.0
siwrkou6goeq.l4.adsco.re,0.0
discovery-v6.syncthing.net,0.0
life-eng.co.il,1.0
founder.s4.udesk.cn,0.0
only-391436-14-27-46-119.nstool.netease.com,0.0
prosoltec.cl,1.0
zhidao.dahe.cn,0.0
vas-resource.oss-cn-shenzhen.aliyuncs.com,0.0
ds5y7u1rpzyj9.cloudfront.net,0.0
w4dasvax2ll5eyu6mz5a-f-9a1640512-clientnsv4-s.akamaihd.net,0.0
ogs.google.de,0.0
rcgsoftech.com,1.0
sistemas-web.cl,1.0
lockstep-jk-normal-set15.gcloud.qq.com,0.0
bombaycasuals.com,1.0
cooperativaelaguila.com,1.0
mba.nju.edu.cn,0.0
iot.cloud.tencent.com,0.0
sattayb.com,1.0
karyasolusi.com,1.0
ua.pt,0.0
open-api.spot.im,0.0
wcujupae.page.link,1.0
radiocristorey.org,1.0
host--m206071682.ua.ummmmu.com,0.0
account.178.com,0.0
aidandylan.top,1.0
perfilestival.pt,1.0
capsfactory.com.mx,1.0
sandiamagazine.com,1.0
privadasdesanjose.com.mx,1.0
z5vszpt5dqflgzlwjgndemtfnnwp61654602796.nuid.imrworldwide.com,0.0
3f04b6086f3d49899c70b385c4ff426e.fp.measure.office.com,0.0
oneminutechallenge.hu,1.0
yuanben752.lofter.com,0.0
41.249.72.101.sbl.spamhaus.org,0.0
dg-oc.ftn.qq.com,0.0
secureabcvodnews-vh.akamaihd.net,0.0
tj-cabbage-yun-ftn.weiyun.com,0.0
safarpanda.com,1.0
0b5b23a44377421f6ff03548c1239af4.safeframe.googlesyndication.com,0.0
giftcollection.pk,1.0
acb.faqserv.com,1.0
optimacosmetics.rs,1.0
budiutomo.my.id,1.0
solseefq.page.link,1.0
shadestinting.com.au,1.0
amshesp.com,1.0
haulmaxtyres.com.au,1.0
widget-course.chaoxing.com,0.0
cyysgzrz.page.link,1.0
miami-breeze.com,1.0
toothsmartdental.com.au,1.0
bnhiohsnakim.sysu.edu.cn,0.0
ramazanaltinok.av.tr,1.0
mooc1vod.stu.126.net,0.0
jswebapp.com,1.0
cartoons.cankaoxiaoxi.com,0.0
qzwiucgum.sysu.edu.cn,0.0
cityquality.net,1.0
floormopreview.com,1.0
s31.aconvert.com,0.0
learn-conversation.com,1.0
shop.roseofsharon.hk,1.0
l3.public.ludashi.com,0.0
pscwhaqv.page.link,1.0
atc.faqserv.com,1.0
fvhawrin.page.link,1.0
m.pl.bendibao.com,0.0
187538ab56b34ba685b4100a82204270.fp.measure.office.com,0.0
hotelanamurter.com,1.0
ccpce-de.consumer.huawei.com,0.0
eaaqeubqaijeajqacqhaabqaabrj65di-f-9e7436527-clienttons-s.akamaihd.net,0.0
1ut4jnm5m10oxrax2wal0104-wpengine.netdna-ssl.com,0.0
iatte.org,1.0
dao.china.com.cn,0.0
cnc.joskekurwa.xyz,1.0
une.settings.oysterfloats.org,1.0
ifrmthu23a4hh77oq7j6o-us-west-2.r.nflxso.net,0.0
chs.sagepub.com,0.0
ayk-pvp058.mo.konami.net,0.0
cdec.pbcsf.tsinghua.edu.cn,0.0
shebao.z8000w.com,0.0
acccd58ce733495caff4f24d94d4897f.fp.measure.office.com,0.0
hk.search.yahoo.com,0.0
studioaziende.click,1.0
duorui01.oss-cn-shenzhen.aliyuncs.com,0.0
zjvgn.sync.oystergardens.club,1.0
m.dytt8.net,0.0
smjyihre.page.link,1.0
hilyers.com,1.0
iwitechnologies.com,1.0
vgoaswwk.page.link,1.0
www.slack.com,0.0
3aab852a57ea473aa3eee3e9157ec571.fp.measure.office.com,0.0
vgreenmedia.com,1.0
ariamedical.ir,1.0
hsbriwgk.page.link,1.0
edge183.stream.highwebmedia.com,0.0
kpkndtyu.page.link,1.0
hxxy.xtu.edu.cn,0.0
so.csdn.net,0.0
zahra-nejati.ir,1.0
live.com.gt,1.0
gdcobros.com,1.0
zjt.2023.ebeenj.com,1.0
rasapac.sgs.com,0.0
lewispublishing.org,1.0
azprdb2c1.b2clogin.com,0.0
xj.chinapost.com.cn,0.0
img26.house365.com,0.0
9u9mqf.tdum.alibaba.com,0.0
diamondcity.vn,1.0
8.119.241.162.sbl.spamhaus.org,0.0
ffyjlzxd.page.link,1.0
only-898303-112-96-49-252.nstool.netease.com,0.0
edubrovnik.org,1.0
1946256e577a84e8ef4a291f1ff9d6d1.safeframe.googlesyndication.com,0.0
ebc.faqserv.com,1.0
ap3-tls.agora.io,0.0
smlivebucket-b.oss-accelerate.aliyuncs.com,0.0
skaphe.com.co,1.0
cmzz.oss-cn-shanghai.aliyuncs.com,0.0
ns1.cq.chinamobile.com,0.0
85wycy.tdum.alibaba.com,0.0
ichhagroup.com,1.0
w4dastyx362hiyu6vazq-f-a2b951b0d-clientnsv4-s.akamaihd.net,0.0
e89514b99794157737022004764dd7a0.safeframe.googlesyndication.com,0.0
bc7bae82b06bb532bf1e9546caeaac2b.safeframe.googlesyndication.com,0.0
vrport.com.au,1.0
icuc-international.org,1.0
pokojechancza.pl,1.0
gallinairan.com,1.0
a2577.casalemedia.com,0.0
wecanmore.sysu.edu.cn,0.0
amekdltw.page.link,1.0
rizdziner.com,1.0
lyncdiscoverinternal.foxmail.com,0.0
maulana.web.id,1.0
finmug.co.ke,1.0
qpxuasvptayeuot.sysu.edu.cn,0.0
a4193b67dec5e96a8e7ddb1ae45e0190.safeframe.googlesyndication.com,0.0
my.jh.edu,0.0
8c9127c239294bae9672c0e16e22caca.fp.measure.office.com,0.0
grahamelderpainting.co.uk,1.0
leaderinu.in,1.0
vincentiusmaximus.files.wordpress.com,0.0
sotrerzlsxg.sysu.edu.cn,0.0
arthawirawan.com,1.0
9ab9a128c9c61bbc4ac09b6e3c21e3e5.safeframe.googlesyndication.com,0.0
jwetq.sanyotelevisao.sa.com,1.0
1429965793-files.gitbook.io,0.0
cxxy.seu.edu.cn,0.0
w4dasvaxhxbggyu6vuvq-f-b919cc986-clientnsv4-s.akamaihd.net,0.0
hilldalefunding.com,1.0
sgsinbmpcmap1p2.ey.net,0.0
studiorosellabuoncristiani.it,1.0
c-0.19-a3000801.8040081.170c.c6b.3ea5.210.0.36dbk1k78pevqdi9iiztvnhqjb.avts.mcafee.com,0.0
naveeslawconsultants.com,1.0
updatetechbd.com,1.0
egnersi.com,1.0
zuahlos.sysu.edu.cn,0.0
adle.fartit.com,1.0
arsey.in,1.0
www.bt.cn,0.0
okidok.se,1.0
faststroygo.com,1.0
thevillagegroup.mx,1.0
w4dasvax2cgcgyu7n3xa-f-3693c75b1-clientnsv4-s.akamaihd.net,0.0
yellowstone.com.mm,1.0
tvb-bosco-wong.blog.sohu.com,0.0
vhmgtoyv.page.link,1.0
3efcf2f8bc82bf6338d1ec412550e034.safeframe.googlesyndication.com,0.0
ooiorzak.page.link,1.0
l9518228.iavs9x.avg.u.avcdn.net,0.0
verum-software-tools.gallerycdn.azure.cn,0.0
wfbpqtaf.page.link,1.0
100.28.150.20.sbl.spamhaus.org,0.0
gdyjy.whu.edu.cn,0.0
laboratoriocitrico.com,1.0
twejzlfx.page.link,1.0
touchstardev.com,1.0
sgcjiirm.page.link,1.0
asa-fed.gameloft.com,0.0
jsp-gvideo-prod.oss-cn-shenzhen.aliyuncs.com,0.0
npmbffqn.page.link,1.0
mall-api.i4.cn,0.0
mfctrkfc.page.link,1.0
yeeyi.zendesk.com,0.0
2499286934.docs.qq.com,0.0
village-auto.net,1.0
w4dasvax2cgiayu66tiq-f-fee634da1-clientnsv4-s.akamaihd.net,0.0
dxsigejy.www.tendawifi.com,0.0
adlkj.vizvaz.com,1.0
asd.fartit.com,1.0
apple-pay.jd.com,0.0
sso.redhat.com,0.0
2583471855.docs.qq.com,0.0
zj2fdlixfqzxuyu6lwdq-f-b2d213993-clientnsv4-s.akamaihd.net,0.0
strategy180.com.au,1.0
help-html-css.sysu.edu.cn,0.0
sonnenkirche.de,1.0
danaedu.my.id,1.0
60b484ada7054b2993596e4b651ae203.fp.measure.office.com,0.0
firstcryindia.files.wordpress.com,0.0
hz.graduate.sysu.edu.cn,0.0
9edb2b60aadb4015b813d37688ab13c5.fp.measure.office.com,0.0
book.100md.com,0.0
sdt.faqserv.com,1.0
hiperajans.com,1.0
californiatraininginstitute.com,1.0
external-media102.public.wsydm-a-2.prod.infra.webex.com,0.0
iwurcvogowqwxwe.sysu.edu.cn,0.0
mtosmarketingagency.com,1.0
gljfetll.page.link,1.0
pregnantdogandcatrescue.com,1.0
e3b0c99cfc7818c5513c2ab2aea03389.safeframe.googlesyndication.com,0.0
81b751cb7254d23e6bd6ed633cc9f04d.safeframe.googlesyndication.com,0.0
sjomhylv.page.link,1.0
ushczruk.page.link,1.0
72k6ns9ao7fderynekeytoe5tfq3u4fsn2evqe3o0962587b1ca74111sac.d.aa.online-metrix.net,0.0
khjccrna.page.link,1.0
stefangubser.com,1.0
galandskiyher3.com,1.0
pdwk5x3ilnctuyu7fy4a-p7ojve-aa4e17dfb-clientnsv4-s.akamaihd.net,0.0
protechsecuritysolutions.com,1.0
w4dasvax3mtcuyu6keba-pbk8qi-f8a1ab7bd-clientnsv4-s.akamaihd.net,0.0
hz.southcn.com,0.0
perichile.cl,1.0
qnceauvd.page.link,1.0
39c4341b738f6ad0f7613c3fd2e820d4.safeframe.googlesyndication.com,0.0
289f6fbe4d1196472e4739b742d77724.safeframe.googlesyndication.com,0.0
xghxcksk.page.link,1.0
websound.ru,1.0
lhzjlazg.page.link,1.0
w4dasvaxeqh5qyu7kaiq-f-18f476097-clientnsv4-s.akamaihd.net,0.0
appso.yingjiesheng.com,0.0
history.xikao.com,0.0
db50ef1dc836606b6fc9e6593ef5ab46.safeframe.googlesyndication.com,0.0
72k6ns9abufz7e4l4ucwmlcsfady36bqnr3a3t7p773161fbc979ea79sac.d.aa.online-metrix.net,0.0
edu-apple.jd.com,0.0
ed-ib.my03.com,1.0
fapster.xxx,0.0
vlhqeyctwdjdo.sysu.edu.cn,0.0
copyright.com,0.0
b61508b327980b88d5d4ae4a008c5cdc.safeframe.googlesyndication.com,0.0
42d4e261d662938eae64fab0e491cb25.safeframe.googlesyndication.com,0.0
grupoarreal.com,1.0
hbsy.91wllm.com,0.0
applinks.note.youdao.com,0.0
417d959cb50f4f1ea655b7c5f4952941.fp.measure.office.com,0.0
sev.faqserv.com,1.0
u.gwdang.com,0.0
IOIOUOIUOUOUIYJGROUP.SBS,1.0
uvnwbixl.page.link,1.0
janwand3rs.files.wordpress.com,0.0
hhft.co.in,1.0
fca.dns05.com,1.0
wizardforcel.gitbooks.io,0.0
vallartaconcierges.com,1.0
www.kantar.com,0.0
agisakis.gr,1.0
nigsocblind.org,1.0
fz.people.com.cn,0.0
ufcsyphe.page.link,1.0
balens.com.tw,1.0
weishicoop.qq.com,0.0
c7b2b085e1b0e644316194f6bc4b075f.safeframe.googlesyndication.com,0.0
